Tweet,Class
@User.IDX اصلا #امريكا تريد إحتلال منابع النفط في #السعوديه وقتل ماتيسر من آل سعود وإلقى القبض على البقيه منهم وترحيلهم إلى سجن قوانتنامو في كوبا لكثرة جرايمهم ودعمهم للإرهاب العالمي حول العالم وخاصتا الجرايم التي ارتكبوها في #اليمن_والسعوديه ؟؟؟ ,Non-Offensive
@User.IDX إقترب للناس حسابهم وهم في غفلة معرضون * ,Non-Offensive
@User.IDX الأهمال من الحوثي يا مرتزقة الأعلام وقوافل الأعانات من السعوديه والأمارات على مدار الساعه ولكن أعمى بصيرتكم الحقد على السعوديه والامارات حتى لا تقولوا الحقيقه؟ ,Offensive
@User.IDX تظهر نصرة المرأة وليس نصرة الكلبه وهن كلابات اخترن أن يُنابحن لصالح قطر الكلبه الأم ,Offensive
@User.IDX بغض النظر عن أحكام التأديب في الإسلام ، أحتاج أعرف كيف ضرب يحسس المرأة بأنوثتها يعني 🙂؟ ,Non-Offensive
٤٠٠ مليون إنسان في ٢٢ دولة عربية يمثلون اذل امة على الارض مع ان بامكانهم ان يتحدوا وينظموا انتخابات نزيهه تجعلهم أعز وأغنى واقوى الامم ,Non-Offensive
@User.IDX وضع معظم اللاجئيين الشباب بالمانيا ,Non-Offensive
@User.IDX @User.IDX الله ياخذ الحق أنشاء الله ,Non-Offensive
@User.IDX ما في ديانه في هالكون قدرت تهذب هالعينات الهشه من الذكور! هالمشكله ما تتعالج بالدين، علاجهم المصحات النفسيه والصعق الكهربائي الحيواني اذ امكن. ,Offensive
السورية... والسبته ... والسروال .... وجونا... وماليا .. اسبيدرو بالايطالية .... شخشير ... شلاكة او شبشب هكي نسمو فيهم ف ليبيا ... تشابه متقارب بينا وبين تونس ,Non-Offensive
ماشاءالله ابداع.. عقبالكم عشان نفتح لكم معرض سوا 🙈😍 آلآلاء هشامaNada Khaled ,Non-Offensive
@User.IDX تي والله ما يندري عليها منين زارقة نحلف ويميني صادق ,Non-Offensive
@User.IDX يُفترض ان يفهم جيداً صعاليك العرب والخليج بشكلٍ خاص أن الحروب الامريكية قد اصبحت خلف ظهورنا، وعليه فكل التهويلات على كوبا وفنزويلا وإيران هي باهته كبهوت ربيبتها إسرائيل في عزّة. ولن تحصلا حتّى على خُفيّ حُنين. 💏👨‍👦👨‍👦 غزّة بدر الكبرى ستُعاد,Offensive
فريق العمل. .ماذا حدث مع الشيخ سلمان العودة؟؟ ,Non-Offensive
مرة حلو الفيدو تسسلللللم إيديك يا عمر . ,Non-Offensive
احلى لايك يا عمر! شكرا على مشاركة هده الزيارة الجميلة وطبعا التعليقات الجانبية دايما انتريستنج ,Non-Offensive
تضحك حتى وأنت حزين 😂 ,Non-Offensive
@User.IDX الميت لازم ياخذ أوسكار أفضل ممثل كوميدي يخرب بيت الشهقة والنظرات المتفاجئة 😂😂 ,Non-Offensive
&quot;نحن نقص عليك أحسن القصص بما أوحينا إليك هذا القرءآن &quot; ,Non-Offensive
بدأت أشعر أن موضوعات فديوهاتك بتجيلك من aj !! ,Non-Offensive
@User.IDX لن تقصف اسرائيل مكتب هنيه لان هنيه قدم هديه لاسرائيل لن تنساها ,Non-Offensive
يا عم مبحبش المألوف... غير التي شرت 🤣 ,Non-Offensive
@User.IDX لاحول ولا قوة الا بالله ,Non-Offensive
@User.IDX كل اللي حوله ينظرون له نظرة اشفاق وكأنه مجنون ,Non-Offensive
@User.IDX قريباً مفتاح الكعبة يسلم لفيفي عبدة .... رواية الدب الداشر و ابوه العاهر السعودي ... ,Offensive
الله عليك يمعلم استمر يامعلم هذا العقل يمعلم ,Non-Offensive
لو كل مدرسين العالم مثل الدحيح ما كان في رسوب ,Non-Offensive
@User.IDX بما ان قناة الخنزيرة القطرية تجاهلت دور عبد الله بن حسين الاحمر في اغتيال الرئيس الحمدي فلا شك انها لن تبحث في جريمة اغتيال جار الله عمر لانها لن تكشف مؤمرات الاخوان المسلمون للعالم لانه يتعارض مع سياستها #صلاح_هرهرة ,Offensive
رد سريع لمن يقول السوريين مشردين والله العظيم نعيش بكرامة وحرية ولا يوجد في قلوبنا ندم ونحمد الله اننا خرجنا عن القطيع ولم نعد عبيد في مزارع حكام الدول العربيةعاشت سورية ويسقط بشار الأسد. دمتم أحرار ,Non-Offensive
@User.IDX الله يهديها للإسلام❤❤ وقوفهم معنا يفرح القلب الله يصبر أهالي الشهداء💔 ,Non-Offensive
@User.IDX القرني ذكي واوقعكم في شر اعمالكم ,Non-Offensive
@User.IDX إردوغان يبيع الخرفان 😁 😁 😁 ,Non-Offensive
@User.IDX ياريت حكامنا العرب يكون عندهم شخصية مثلها ,Non-Offensive
@User.IDX زيارته لقافه امريكا لم تطلب منه ذلك ٠ ,Non-Offensive
مرة حبايب ومرة حلايب ..!!! *** الحل الجزري والنهائي لذلك الفديو القانون الدولي '''محكمة الجنائيات الدولية ''' ومعترف بها عالميا،،، العندوا أوراق'' خرائط ووثائق '' ينظفها من الغبار ويمشي هناك والكلام إنتهى. ,Non-Offensive
@User.IDX حيسمسر على كل راس 🤣🤣 ,Non-Offensive
@User.IDX والله اننا نعلم انكم تعلمون انهُ صادق ,Non-Offensive
هاد سجن 5 نجوم بالنسبة لسجون الي موجودين بسوريا متل ما بتئول اخي المشكلة فينا نحنا البشر بدنا تنظيف ئبل الحكام ,Non-Offensive
لم يعجبي منزل صغير جدا ... . ولا يتوفر علي ملعب كرة قدم وحلبة سباق f1 .. كما ان عدد المراحيض قليل ..و غرف النوم تبدو سئية وغير مريحة .. كما ان البيت لا يتوفر علي عيادة طبية ومطار لطائرات ولم تعجبني الشاشة بلقرب من المسبح ذوق فقير جدا ...😒😒 لم يعجبني اريد بيت اكبر Razak King ,Non-Offensive
@User.IDX ياخسارة أموال اهلنا الشرفاء فقط في قطر. <url> ,Non-Offensive
@User.IDX @User.IDX تاريخهم الاجرامي لايجعلني اصدق المشهد التمثيلي ,Non-Offensive
عم عيد الحلقات 😍👌رمضان كريم بس مافينا بلا السليط 💔😭 ,Non-Offensive
@User.IDX قناه الخنازير الجزيره قناه حوثيه حقيره تخدم ايران واعداء الاسلام لاتبحث الا عن الفتنه والهدم تبا لها ولاخبارها ولمراسلينها ,Offensive
@User.IDX ما دمر الاطفال الصغار وجعلهم يفقدوا الثقه بأنفسهم الا الاجهزه الذكيه لأن الطفل طول الوقت وهو ماسك الجهاز يكون صامت لساعات في اليوم فكره جباره جداً جداً لا تنتظروا محل يعرض عليكم مثل هذا العرض حتى تنموا الثقه في نفوس اطفالكم اشتغلوا عليهم في البي,Non-Offensive
@User.IDX @User.IDX اسرائيل موجوده عشان تقرف الكره الارضيه حياتها ماتركوا دوله في حالها الا ولهم يد في خرابها ,Offensive
@User.IDX هههههه ندري حتى خرم الاوزون سبب فيه قضية جمال خاشقجي الله يرحمه بس الحل في الرياض ولا ما قدامكم غير الهاويه ,Non-Offensive
@User.IDX الحكومة القطرية تعلن عن قطع العلاقات مع اميركا واغلاق القاعدة الاميركية في قطر رد على قرار ترامب وقصف غزة 😀 ,Non-Offensive
لو اضطررت للتوسل إلى رجل آخر من أجل حريتك فلن تنالها أبدا، فالحرية شيء يجب أن تناله بنفسك الحريه تكتسب تواصله ,Non-Offensive
الله ينصر فلسطين وسوريا ويحفظ بلدي الجزائر ,Non-Offensive
نعتذر عن غياب فيديو الأسبوع في هذه الحلقة ... أحلى فيديو أسبوع في الأسبوع الجاي نأ نأ ,Non-Offensive
اصحاب الخوذ البيضاء احذيتهم انضف واشرف من الجعفري وكل نجس خنزير متلو . وجبهة النصرة عملت منن فطايس بلحمة بحمص الله يسلم ايديهن وعقبال كل خنزير منن او بوقف معن ,Offensive
ليش انت كذا 😠 تسأل وتسحب ع السؤال ؟!😡 ,Non-Offensive
دكتور لوجيك موتني من الضحك 😂😂 ,Non-Offensive
 <url> أعزائى المشاهتين اهلا بيكم فى حلقة جتيتة من برنامج الدحيح 😂😂 ,Non-Offensive
ههههههههه ضحكني اخر شي زبدلك يبووووي ,Non-Offensive
يا ريت موضوع عن تحليل الشخصية من خلال الخط Graphology الي معي لايك 😊 ,Non-Offensive
علي الحلال انا وانتي الي رح نقرض على شان نحنا فلسطنية ,Non-Offensive
@User.IDX 😂 😂 كلكم اخص والعن من بعض يا الشريفة كلكم في الهوا سوا ,Offensive
رد يوتيوب ايه بعدالاعتذار ؟ يا رب ميسامحهوش ابدا لا هو و لا الحيوانه الي معاه بتضحك في الفيديو تجردوا الاتنين من ابسط انواع التعاطف الإنساني مع انسان حياته مآساة لدرجة اضطر ينهيها بيده ودوّل يضحكوا الي عنده خلل في عقله فعلا هو المتوحش الي طالع بيمثل الاعتذار علشان ينقذ career بتاعه ,Offensive
@User.IDX سفير إيرااان !! هو من يحكم العراق !! 😂😀 <url> ,Non-Offensive
@User.IDX نحن. الجنوب دولة يادويلة قطر ،والان نحرر المناطق التي لاتزال تحت الاحتلال الشمالي ،بالنسبة لنا كجنوبين حربنا مع الشمال حوثي اصلاحي ناصري مؤتمري...... ,Non-Offensive
ما يفعلوه ذكاء للمصالح الشخصيه فقط وليس للبلاد ,Non-Offensive
@User.IDX @User.IDX يا اخوان الادمي هذا صاحي نفسي اعرف كيف صار رئيس ,Non-Offensive
"""العالم لم يعد غبياً والعبارات المنمّقة مثل """"هذا لايمثل الاسلام وذاك لا يمثل..""""لم تعد تنطلي على العالم. وحتى التخويف بالمصطلحات المرعبة مثل """"الإسلاموفوبيا"""" لم تعد ترعب العالم الغربي كما السابق. من المعلوم أن لكل فعل رد فعل فلماذا يتوقع المسلمون أن يبقى جميع العالم ساكتاً بينما المسلمون يقتلون الأبرياء هنا وهناك؟ ولماذا الغضب إذا قُتِل إمام مسجد والاكتفاء ببعض التبرير إذا ارتكب المسلمون المجازر بحق غيرهم ودون أن يكون لهم ذنب؟ فعلاً امر يدعو للاستغراب كثيراً..!!!! """,Non-Offensive
طبعا ميعرفون الاطباء اذا همه ماعرفوا يولدون الام وتسببوا ببتر ايده للمسكين شلون طفل يخبل اللهم عافنا واعفوا عنا ,Non-Offensive
۞ يَا أَيُّهَا الَّذِينَ آمَنُوا إِنَّ كَثِيرًا مِّنَ الْأَحْبَارِ وَالرُّهْبَانِ لَيَأْكُلُونَ أَمْوَالَ النَّاسِ بِالْبَاطِلِ وَيَصُدُّونَ عَن سَبِيلِ اللَّهِ ۗ وَالَّذِينَ يَكْنِزُونَ الذَّهَبَ وَالْفِضَّةَ وَلَا يُنفِقُونَهَا فِي سَبِيلِ اللَّهِ فَبَشِّرْهُم بِعَذَابٍ أَلِيمٍ (34) يَوْمَ يُحْمَىٰ عَلَيْهَا فِي نَارِ جَهَنَّمَ فَتُكْوَىٰ بِهَا جِبَاهُهُمْ وَجُنُوبُهُمْ وَظُهُورُهُمْ ۖ هَٰذَا مَا كَنَزْتُمْ لِأَنفُسِكُمْ فَذُوقُوا مَا كُنتُمْ تَكْنِزُونَ. صدق الله العظيم ,Non-Offensive
اغيد كنت بعرفوا انو سورية😁كان يجي عطيور الجنه ,Non-Offensive
مجندات واحمد الدقامسه الصادق الوحيد في كل المعادلة . اذا اليهود عجزوا سيدنا موسى عليه السلام بدهم يسألوا عنا بتمنى الناس تكون على قد الموقف .والله لو اشوف اي يهودي خنزير لاقتله شاء من شاء وابى من ابى . ,Offensive
تروح الجامعة و بعدين تشتغل الين تموت😂😂😂😂😂😂😂💔👌🏼 ,Non-Offensive
@User.IDX تقريركم بائس بصوت مذيع بائس. حتى لو كان فتيحي أمريكياً لن يؤثر على قوة الإجراء ضده. أمن الدولة أعلنت قبل أيام أنه يوجد لديها بالسجن عدد من الإمريكيين. لايوجد لأحد إعتبار فوق القانون السعودي والسيادة السعودية. ,Non-Offensive
شكران لكم على المعلومه ☺ ,Non-Offensive
اذا كنت سني فالسعودية قتلت صدام. وان كنت قومي فالسعودية حاربت عبد الناصر. ولو قلبك على الأقصى فالسعودية باعت فلسطين. أما لو أنت تحب الاسلام فالسعودية تحالفت مع أميركا واسرائيل ضد المسلمين. وإن كنت عربي فآل سعود يهود. وإن قلبك على المسلمين فالسعودية تخلت عن المسلمين الأفغان والبورميين والصوماليين. إوإن كان يهمك الأمن العربي فالسعودية أدخلت قواعد أمريكية إلى أرض الحرمين. وإن كنت تريد التحرر من الاستعمار ستحاربك السعودية مثل ما تحارب المقاومة الفلسطينية. وإن رضيت العبودية فمرحبا بك في السعودية. ,Non-Offensive
هذا هو نموذج المعارضة الوطنية الذي نطمح ان نراه في البلدان العربية و ليس المعارضة التي تلجأ إلى الجيش للانقلاب على نتائج الديموقراطية، أو التي تلجأ إلى أسيادها في الغرب او إلى ديكتاتوريات الخليج للتآمر على إرادة الشعب... ,Non-Offensive
@User.IDX كل الشعب السعودي يرحب بتعلم اللغه الصينيه وسوف ترسل البعثات الي الصين لخذ المعرفه وموتوا بغيضكم يانعول ايران وموخرة اردوقان اشتغلوا لطم🤣🤣🤣 ,Offensive
يعطيك العافيه❤عمر انت نقطت تحول لنا ان شاء الله بس استمر✋😊❤ ,Non-Offensive
الله يرحم الملك فيصل بن الشريف حسين الهاشمي مؤسس الدوله السوريه ( المملكه العربيه السوريه الهاشميه ) .💔 1918 الآن مجرمين تحكم سوريه ,Offensive
لايك لل انترو الجميل ده لكن سياسة لأ معرفش فيها حاجة😂💔 ,Non-Offensive
@User.IDX مصر وماادراك شعب مصر لكل حاكم بلا استثناء الشعوب تتحمل استبدادك ،استعبادك ،جنونك،ظلمك،قتلك للمواطنين،👈لكن❓عند الجوع هنا ✋استوب لامجال \|~ هي موت موت ان كان قاتل أومقتول احذر أيها الحاكم الطاغي ✖❌.كل م زاد الجوع +زاد الغضب عليك <url> ,Offensive
 <url> فخور بيكى بجد بالتوفيق ديما## ,Non-Offensive
والله أحلي كلام واحسن قرار عشان ما نعطيهم فرصة يسمموا عقول أولادنا ولا يتكلموا أصلا ولايصبح لهم صوت .ديننا موجود ونعلمه منذ ١٤٠٠سنة هل أتي هؤلاء بدين جديد كي نستمع للغوهم المغلوط الذي لا طائل من ورائه سوي الثرثرة الاعلامية ,Non-Offensive
مين ملقوف مثلي و قام وقف الفديو مره ثانية عشان يقرأ الرسالة 😂😂 ,Non-Offensive
اذا ان قلت انا معاد للسامية فذلك يعني اني معاد لنفسي مممممم اري في ذلك منطق ان أعَادِي نفسي للسماح لهم بخلق الكذبه عالميا... ,Non-Offensive
@User.IDX الجزائريين يستحقون الافضل ليس من العقل ولا الانصاف بشئ شعب يضطر للهروب بقوارب الموت لفرنسا بحثا عن الرزق ويسافر لتونس لاجل العلاج وللمغرب سياحه وهو يملك كل هذه الخيرات كل هذا بسبب حكم ظلوم ,Non-Offensive
انا مخي دايم يفكر بالتجارة وكيف اكسب واقلل نسب الخسارة ودايم المنطقة اللي انت فيها تأثر عليك معروف اهل مكة معروفين بالتجارة والتجارة مربحة فيها من عهد الرسول صلى الله عليه وسلم مو عشان اكون مستقل او عشان اصير غني ابغا اعيش ابوي وامي واهلي في النعيم اللي عيشوني فيه من انا صغير الى عمري هذا ابغا اترك بصمة في تاريخ المكان اللي عشت فيه لكن ماعندي اي فكرة كيف ابدأ وقاعد احاول ابدأ من بدري لان الاستمثار على المدى البعيد مربح ,Non-Offensive
@User.IDX صيااح قطر وقناتها الخنزيرة مرتفع جدا 😂😂😂 <url> ,Offensive
تبون الجد انا مافهمت الفديو بس ماني حاطه لايك ولا اي شيء ,Non-Offensive
السلام عليكم ورحمة الله تعالى وبركاته نصر من الله وفتح قريب وبشر المؤمنين مهما خذولونا إخواننا المنافقين ومهما زاد التنكيل باخواني واخواتي الشرفاء المناضلين الصابرين الصامدين كل في ميدانه فهم المنتصرين باذن الله اما الصهاينة اعدائنا واعداء الانسانية جمعاء والخونة من امتي ومن الخارج والمنافقين فهم المنهزمون باذن الله طال الزمان او قصر إن الله يمهل ولا يهمل اللهم انصر اهلي اخواني واخواتي في فلسطين وفي سوريا وفي العراق وفي اليمن وفي كل مكان وفي كل زمان وما النصر إلا بإذن الله نعم المولى ونعم النصير اللهم امين يارب العالمين والصلاة والسلام على سيدنا محمد وعلى آله وصحبه وسلم ولا حول ولاقوة إلا بالله العلي العظيم ,Non-Offensive
أين المشكل في تدريس العربية مع العلم أن الفرنسيين اصبحوا اقليات في فرنسا (إحتلال من دول شمال إفريقيا) هههههههه أغلب سكان فرنسا ناطقين بالعربية &quot;باعتبار اصولهم&quot; حتى الوزراء، رئيس بلدية، نواب ... كلهم من أصول عربية ,Non-Offensive
@User.IDX دفع أهل مصر المسالمين دفعا لكره الحياة و كل مناحيها. آخر من كنت أظن بأنه مستعد لتفجير نفسه هو المصري و لكن و بفعل ضغوطات العسكر و داعميهم مساخيط آل نهبان و ولاد سعود عميل الإنجليز. للأسف المصيبة لن تتوقف عند هذا الحد فهناك ملايين المصريين لم بعد,Offensive
@User.IDX للاسف لقد حط بلحة من قدر مصر الكثير ,Non-Offensive
@User.IDX اللهم فرج هم المهمومين اللهم خلص بيتك الأقصى من أرجاس اليهود اللهم عليك باليهود ومن شايعهم الله عليك بهم فإنهم لا يعجزونك اللهم زلزل الأرض من تحت أقدامهم وجمد الدماء في عروقهم اللهم أرنا عجائب قدرتك اللهم أرنا فيهم يوماً أسودا اللهم افعل بهم كما,Non-Offensive
@User.IDX جميل جداً أن نظهر للعالم سماحة ديننا الحنيف من خلال هذه المبادرات الذكية خاصة بعد السمعة السيئة التي رسخها الاخوان و القاعدة عن هذا الدين في ذهن الغرب ,Non-Offensive
Fatom Alasaad تعي شوفي هاد لازم تجيبي منو لحمودي ..وانت لازم يصممولك طاولة وكرسي للاكل 😂😂😂😂😂😂 ,Non-Offensive
@User.IDX هذول اللي يطالبون بالحريه، امحق 🙂 ,Non-Offensive
@User.IDX لاكنه ملحد وانكر وجود الله سبحانه ,Offensive
امسح راسك يا عمر طول الفيديو خايف عليك من الحمى !! ما يصير كذا يا عمر!! ,Non-Offensive
@User.IDX كولو زق محمد بن سلمان أشرف منكم يا كلاب ,Offensive
@User.IDX ماهو لو كل غبي في نفس مكان الرئيس واتطلب منه قدام الناس يتكلم ويجاوب ممكن يقول اكتر من كده ، انتو ناسيين المستشفيات بتصرف كام والعلاج بكام والاستيراد بكام والمباني اللي سكناها دلوقتي بكام والصرف اللي بيتصلح قدام عنينا بكام وغيره وغيره وغيره ، وي,Offensive
@User.IDX ولأن نضام الحكم لدولتين المنقسمتين سيكون الذي يسنه ويضع قوانينه هم نفس الأعداء الذين مزقوا الأمة الواحدة جعلو أيضاء اختيار ان تكون الدولة مسلمة او غير مسلمة بحسب اغلبية السكان فجعلو الهند أغلبية سكانها غير مسلمين وجعلو باكستان اغلبية السكان مسلم,Non-Offensive
سطحية مستفزة يقول لوكاس السخرية هي أقصى درجات الجدية لكنك اليوم كنت في أقصى درجات التفاهة امل حويجة كانت تتحدث عن فكرة الإنسان والذئب وكيف تألم الطفل من آبائه البشريين وعاد إلى الفضيلة التي تعلمها من الذئاب لهذا عوت تنادي الغابة فقد تجبر الإنسان فوق كل تجبر. عوى الذئب فاستأنست بالذئب إذ عوى وصوت إنسان فكدت أطير. للأسف حينما يكون الطرح من وجهة نظر ضحلة يتبين معدن الثقافة والفكر. ,Offensive
لم تذكر الجزائر حيث انه يوجد 7 ملايين مهاجر في فرنسا فقط ,Non-Offensive
Shelly Tik شوفي ما احلا الفكرة... مسابقة لحكي عربي نضيف بدون اي كلمة بالانجليزي او بالفرنسي ,Non-Offensive
لعمه ........ والله اذا بيجينا حكام من هندوسيا احسن من حكامنا الحاليين هنيئا لكم يا حكام الغرب لقد احسنتم ووضعتم الرجل المناسب لكم بلمكان المناسب لكن هذا لن يستمر طويلا... هذا ما وعد الله وصدق المرسليين ,Non-Offensive
@User.IDX @User.IDX بس يا اخوان .. يمكن بنى رأيه على دراسات وابحاث قرأها 🤔 ,Non-Offensive
شكرا لكم ونتمنى لكم مزيدا من التوفيق ,Non-Offensive
تدفع 450 الف و تنتظر علشان يجيك 140 الف حرام بعد 15 او 18 سنة طيب ليش ما تدخل في التجارة معاك 450 الف خلال سنة راح تكسب 500 الف صافي بدون خطورة و رزق حلال الفيديو هذا مضلل و غبي جدا ,Non-Offensive
صدمتني ياعمر بذا الفيديو على الاقل اشرح كيف تقابلتم صدفه والا رحتم سوا والا كيف ,Non-Offensive
@User.IDX هذا الخبر طبيعي ان يتصدر حدث هذا الاسبوع لكن ليس غريب على الساحة العربية مادام هناك ارواح تزهق في سوريا و اليمن و اعدامات في مصر...يتبع ,Non-Offensive
هذا ما حدث في بلادي 😭😭😭😭😭😭😭😭 ,Non-Offensive
نحن كل السوريين منهدف عاشت سورية الأسد ,Non-Offensive
وما خفي من العلاقات بين الاخوة كان اعظم ,Non-Offensive
هذا يزعجني، ما كنت بعرف هالقانون، بس عنجد بضحك وين عايشين نحنا ,Non-Offensive
انا ودي ان اسال سؤال هل صومال من المشارقة ام من المغاربة 😂😂😂😂نحن و جيبوتي و جزر القمر سوف نصنع جهتنا الخاصة و نطلق عليها الشماشله 😂😂😂😂😂😂😂😂😂😂😂🇸🇴هل من شماشلي اخر هنا 😂😂😂😂 ,Non-Offensive
@User.IDX كل ثورات الغوغاء ...لازم ايقونه ...ولازم علم جديد...ولازم حساب تويتر يطلع مزيف......وسبحان الله لبسها وحلقها وتسريحتها طلعوا تراث بالصدفه....وبكره حتروح امريكا او بريطانيا تشتغل .....الربيع العبري . ,Offensive
#اصحاب_ثنيان موجودين الي موجود لايك ,Non-Offensive
@User.IDX كل الشعب السعودي مؤيد لهذا التوجيه من سمو ولي العهد أمده الله بنصره🇸🇦🇸🇦 ,Non-Offensive
بلدنا هدامة للطموحات والمواهب بسبب عدم وجود الدعم الكافي لمختلف المجالات خصوصا الفن ,Non-Offensive
@User.IDX السيسي باقي وانتم ياكلاب متحركون ,Offensive
@User.IDX دول عساكر أمن مركزي علشان يقفوا خلفكوا ويجيبوا منكم رجاله يااشباه الرجال ,Non-Offensive
افضل مقطع كان من 1.24 الى 1 34 ,Non-Offensive
موقف محررررررررررررررج جداً اللي بنهاية الفلوق ,Non-Offensive
@User.IDX كلامه جدا صحيح، لكن نهاية الفيديو خربها ,Non-Offensive
شكرا على الحلقة الفارغة ونتطلع لحلقات مفيدة ،، بالتوفيق ,Non-Offensive
كل ما اجي أكل اتفرج فديوهات عمر حسين ,Non-Offensive
@User.IDX من الواضح أن السيسي لم يذق طعم الضرب في صغره ,Non-Offensive
قدرات عجيبه لم افهمها وللاسف لم تعجبني ...في الواقع هي مخيفه ,Non-Offensive
ههههههه هذا مطار قطر و انا من قطر ,Non-Offensive
اختصار مخل حتى انت ياعمر تخبص وتحابي لا تلام السجن يعلمك ,Non-Offensive
@User.IDX 😂😂😂 القطريين بيستخدمو الجزيرة عشان يمسكو على الامارتيين اي غلطة ,Non-Offensive
@User.IDX علشان ننبسط .. ياليت تحكوا لنا كيف وصلت دعوة تميم للقمه العربيه الأوربيه ,Non-Offensive
@User.IDX ولماذا يعتبر زعيم الأمة الإسلامية وفقك الله وسدد خطاك ,Non-Offensive
اعجبني موضوعك شكراً جون سنو💜 ,Non-Offensive
@User.IDX في الواقع قصفت إسرائيل قوات إيرانية في سوريا و على بعد كيلومترات ولم نسمع أي رد من خنازير ايران ,Offensive
@User.IDX المزج بين الصهيونية و معاداة السامية فكرة خبيثة. فالعالم كله يجب ان يدين ما فعله هتلر النازي باليهود لكن الصهيونية و تعريفها و احتلالها و جرائمها شيء اخر. هذا التصريح يأتي نتيجة موجة التطبيع العربي الجماعي مع اسرائيل. مو بقيان غير يجرموا كل واحد,Non-Offensive
النصارى الي دينهم غير ديننا لا يقومون بهده الفرقات العنصرية فالجالية المسلمة المقيمة بالدول الغربية تستفيد من كل الحقوق كتمدرس و الصحة.... و المسلمون او العرب يقومون بافعال عنصرية و هدا ليس بغريب على دول الخليج فدولة امارات تمنع المقيمين من عرب و اجانب من استفادة ابناءهم من التعليم المجاني اهدا هو اﻹسلام اين هي حقوق اﻹنسان بعيدا كل عن المفارقات العنصرية افضل العيش في الدول الغربية على العيش في هده الدول المتخلفة العنصرية. ,Non-Offensive
السودان يا نيكولاس الرئيس ليهو 30 سنه في الحكم.. جيبو تحت المجهر ,Non-Offensive
"""@User.IDX جنوب السودان دولة نصرانيه استقلة عن السودان وهم الان خايفين يفكر السودانين باستعادة جنوبهم بعد سقوط نظام البشير وهذا ومسوي لنا فلم قدام الشعب السوداني والعالم انهم لا يريدون الحرب واراقت الدماء وهو نصاب والله لو يملك قوه لكان مبادر بالحرب والتوسع يعني الموضوع كله """"حركات نصارى"""" """,Non-Offensive
خطية المفروض بلده يرعاه ولو شفت في دول اخرى يهتمون بيهم ويدخلوهم لمسرحيات الأطفال عملاق يحتل المدينه وشفتهم يشاركون باعمال كثيرة ,Non-Offensive
والله اول واحد يخليني احتار ايش اكتبله في الكومنتات حقت اليوتيوب والصراحة شوف الحيره هذي ما جت الى لأنو احنا أعضاااااء في ((مدونتك السرية))😉 لكن عمر حسين اكيد حسب حساب انه اذا سوا قناة ثانية راح يوقف المدونة بحكم ان القناة راح يكون فيها شغل وتعب. لكن هل عمر حسين راح يكون مرتاح وهوا يقرا كومنتات القناة الببلشد زي كومنتات القناة السرية؟ هنا يكمن مربط الفرس. ,Non-Offensive
فين مزح مطاوعة مع الشيخ الربيع ...🤔 ,Non-Offensive
الله يعطيك العافية.....عشتَ وعاشت سوريا ,Non-Offensive
حبيبتي رغم حجمها الصغير الاانه الحب في قلبها كبيرتنشر السعاده والحب في كل مكان ما احلى قلبها حبيتها ربي يشفيها المشكله تكمن مع المجتمع الذي لا يقدر انه من حقك ان تعيشي بحريه وسلام فهلا المجتمع معاق ومعيق ,Non-Offensive
@User.IDX ليست العبرة بالكثرة . فيقول ربكم (وان تطع اكثر من في الارض يضلوك عن سبيل الله ) ,Non-Offensive
@User.IDX انا تعرضت للتنمر من هذا الشخص @User.IDX ,Non-Offensive
مذكرة حلوة ومميزة صراحة،، حبيتها واكتر شي حبيتو الكاميرا الجديدة ههههه عن جد حبيتها ,Non-Offensive
"انا جاي من المستقبل ,, ابشركم صار فيه شي اسمه ميموريز بالسناب يحفظ سناباتك هههه ",Non-Offensive
في دقيقة 4:19 القطار كان رايح على جهة اليسار كيف صار بعدين عاليمين 🙂 ,Non-Offensive
بعض الخراف الميته في السفينه يثير حفيظه جمعيات حقوق الحيوان ....والاف من عمليات القتل والتعذيب والاف الشهداء في سوريا وفلسطين ...واطفال تقتل بالكيماوي في الغوطه وللاسف لم نجد من تحرك لسانه لنصرتهم..نسأل الله الفرج ,Non-Offensive
انا بحب الحته بتاعت انا ايمان الامام و دى الاسبتاليه اكتر من الحلقه نفسها 😁 ,Non-Offensive
ممكن حد يفهمني وضع السوريين اللي مؤيدين بشار وبيحتفلوا في حلب؟ يعني هل هم مغيبين ولا ايه؟ هل هم زي مؤيدين السيسي عندنا بمصر لما حصل فض رابعة؟ ياريت سوري أو سورية ترد الله ينتقم منهم الاتنين اذا كان بشار ولا السيسي اللي بيأيده ,Offensive
@User.IDX الله يكتب لهم الي فيه خير ,Non-Offensive
@User.IDX جاء في الزمن الخطأ ،، يبدو انه تأخر عدة مئات من السنين 😅 ,Non-Offensive
بيقدروا يخربوا بيوت ويخربو بلدان ويخربوا بين العالم بس بتم في الفطرة السليمة والرحمة اللي زرعها رب العالمين فينا اللي بتخليهن يطلعوا خائبين وبيبقى الشعب وبروحوا ,Non-Offensive
@User.IDX والى الان لا يفيدنا بشي ,Non-Offensive
لاتنسو تكتبو بحلة فى جوجل 😂 ,Non-Offensive
